date,region,product,units_sold,unit_price,revenue,cost
2025-01-05,North,Widget A,120,25.00,3000.00,1800.00
2025-01-12,South,Widget B,85,40.00,3400.00,2125.00
2025-01-19,East,Widget A,95,25.00,2375.00,1425.00
2025-01-26,West,Widget C,60,55.00,3300.00,2310.00
2025-02-02,North,Widget B,110,40.00,4400.00,2750.00
2025-02-09,South,Widget A,130,25.00,3250.00,1950.00
2025-02-16,East,Widget C,45,55.00,2475.00,1732.50
2025-02-23,West,Widget A,100,25.00,2500.00,1500.00
2025-03-02,North,Widget C,75,55.00,4125.00,2887.50
2025-03-09,South,Widget B,90,40.00,3600.00,2250.00
2025-03-16,East,Widget A,140,25.00,3500.00,2100.00
2025-03-23,West,Widget B,65,40.00,2600.00,1625.00
2025-04-06,North,Widget A,155,25.00,3875.00,2325.00
2025-04-13,South,Widget C,50,55.00,2750.00,1925.00
2025-04-20,East,Widget B,105,40.00,4200.00,2625.00
2025-04-27,West,Widget A,88,25.00,2200.00,1320.00
2025-05-04,North,Widget B,125,40.00,5000.00,3125.00
2025-05-11,South,Widget A,145,25.00,3625.00,2175.00
2025-05-18,East,Widget C,70,55.00,3850.00,2695.00
2025-05-25,West,Widget B,80,40.00,3200.00,2000.00
